Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010
Singapore,CAIT,Total including LUCF,CO2,MtCO₂e,47.39,47.46,46.19,45.45,44.41,43.87,43.64,44.72,42.36
Solomon Islands,CAIT,Total including LUCF,CO2,MtCO₂e,45.78,45.76,45.77,-17.52,-17.48,-17.44,-17.47,-17.47,2.03
Serbia,CAIT,Total including LUCF,CO2,MtCO₂e,45.45,46.81,46.16,42.32,35.88,43.3,42.61,47.97,11.07
Cameroon,CAIT,Total including LUCF,CO2,MtCO₂e,42.38,42.1,42.33,41.72,41.46,41.08,40.77,41.65,50.41
Sudan,CAIT,Total including LUCF,CO2,MtCO₂e,41.2,41.34,41.49,39.32,36.85,36.01,36.73,36.5,37.68
Zambia,CAIT,Total including LUCF,CO2,MtCO₂e,40.47,39.82,38.41,37.91,37.64,37.09,36.89,35.92,20.09
Cambodia,CAIT,Total including LUCF,CO2,MtCO₂e,40.16,40.38,38.9,73.51,71.55,70.5,70.35,70.11,8.5
Belarus,CAIT,Total including LUCF,CO2,MtCO₂e,37.8,34.8,33.85,38.47,43.05,43.53,43.38,41.94,36.42
Côte d'Ivoire,CAIT,Total including LUCF,CO2,MtCO₂e,36.55,37.02,35.96,36.19,35.59,35.08,34.5,32.6,32.83
Switzerland,CAIT,Total including LUCF,CO2,MtCO₂e,35.23,36.38,37.37,36.82,37.51,41.27,40.26,38.98,42.85
Ireland,CAIT,Total including LUCF,CO2,MtCO₂e,34.32,34.74,35.91,34.75,33.3,33.47,34.85,34.11,38.5
Denmark,CAIT,Total including LUCF,CO2,MtCO₂e,34.23,34.19,36.23,31.65,33.81,38.03,36.25,41.14,48.16
Slovakia,CAIT,Total including LUCF,CO2,MtCO₂e,31.93,32.51,30.43,23.15,22.84,25.34,24.76,26.53,27.05
Bahrain,CAIT,Total including LUCF,CO2,MtCO₂e,30.75,30.38,30.2,30.59,30.22,28.76,26.57,26.03,25.98
Azerbaijan,CAIT,Total including LUCF,CO2,MtCO₂e,30.1,30.05,30.74,29.32,29.78,28.54,27.91,25.71,22.33
Chile,CAIT,Total including LUCF,CO2,MtCO₂e,28.75,29.17,28.29,0.62,-4.97,1.59,-2.86,-4.88,33.63
Burkina Faso,CAIT,Total including LUCF,CO2,MtCO₂e,28.37,28.17,27.6,9.27,8.89,8.84,8.58,8.07,18.54
Syria,CAIT,Total including LUCF,CO2,MtCO₂e,27.92,29.1,26.46,25.37,26.4,29.85,45.32,55.25,59.02
Lebanon,CAIT,Total including LUCF,CO2,MtCO₂e,27.63,29.2,27.73,26.97,24.86,23.17,23.41,21.1,20.89
Laos,CAIT,Total including LUCF,CO2,MtCO₂e,27.46,27.18,24.03,17.32,13.09,12.58,11.94,11.71,15.05
Tunisia,CAIT,Total including LUCF,CO2,MtCO₂e,26.19,26.11,25.2,33.55,32.71,30.65,30.56,29.6,26.13
Nicaragua,CAIT,Total including LUCF,CO2,MtCO₂e,24.72,24.91,24.89,16.25,15.74,15.48,15.67,15.76,28.15
